Income ,1,2,3,4,5,6
8000,0,0,0,0,0,0
8100,1,2,2,2,2,2
8200,2,3,4,4,4,4
8300,3,5,6,6,6,6
8400,4,7,8,8,8,8
8500,5,9,9,10,10,10
8600,6,10,11,12,12,12
8700,7,12,13,14,14,14
8800,8,14,15,16,16,16
8900,9,16,17,18,18,18
9000,9,17,19,20,20,20
9100,11,22,23,25,25,25
9200,13,26,28,30,30,30
9300,15,30,33,35,35,35
9400,17,35,38,40,40,40
9500,19,39,42,45,45,45
9600,21,44,47,50,50,50
9700,23,48,52,55,55,55
9800,25,52,56,60,60,60
9900,27,57,61,65,65,65
10000,28,61,66,70,70,70
10100,30,65,70,75,75,75
10200,32,70,75,80,80,80
10300,34,74,80,85,85,85
10400,36,78,84,90,90,90
10500,38,83,89,95,95,95
10600,40,87,94,100,100,100
10700,42,91,98,105,105,105
10800,44,96,103,110,110,110
10900,45,100,108,115,115,115
11000,47,104,112,120,120,120
11100,49,109,117,125,125,125
11200,51,113,121,130,130,130
11300,53,117,126,135,135,135
11400,55,121,130,140,140,140
11500,57,125,135,145,145,145
11600,59,129,139,149,149,149
11700,61,134,144,154,154,154
11800,63,138,148,159,159,159
11900,64,142,153,164,164,164
12000,66,146,158,169,169,169
12100,68,150,162,173,173,173
12200,70,154,166,177,177,177
12300,72,157,170,182,182,182
12400,74,161,174,186,186,186
12500,76,165,178,190,190,190
12600,78,169,182,195,195,195
12700,80,172,186,199,199,199
12800,81,176,190,203,203,203
12900,83,180,194,208,208,208
13000,85,184,198,212,212,212
13100,87,187,202,216,216,216
13200,89,191,206,220,220,220
13300,91,195,210,225,225,225
13400,93,198,213,229,229,229
13500,95,202,217,233,233,233
13600,97,206,221,237,237,237
13700,98,209,225,241,241,241
13800,100,213,229,246,246,246
13900,102,216,233,250,250,250
14000,104,220,237,254,254,254
14100,106,222,241,258,258,258
14200,108,225,245,262,262,262
14300,110,227,249,267,267,267
14400,112,229,253,271,271,271
14500,114,231,257,275,275,275
14600,116,233,261,279,279,279
14700,117,236,264,283,283,283
14800,119,238,268,287,287,287
14900,121,240,272,292,292,292
15000,123,242,276,296,296,296
15100,125,243,280,300,300,300
15200,126,244,285,305,305,305
15300,128,245,289,309,309,309
15400,130,246,293,314,314,314
15500,132,247,297,318,318,318
15600,133,248,301,323,323,323
15700,135,250,306,327,327,327
15800,137,251,310,332,332,332
15900,138,252,314,336,336,336
16000,140,253,318,341,341,341
16100,141,254,322,345,345,345
16200,142,255,327,350,350,350
16300,142,257,331,355,355,355
16400,143,258,335,359,359,359
16500,144,260,339,364,364,364
16600,145,261,344,368,368,368
16700,146,262,348,373,373,373
16800,146,264,352,377,377,377
16900,147,265,356,382,382,382
17000,148,267,361,386,386,386
17100,149,268,362,391,391,391
17200,150,269,364,395,395,395
17300,150,271,366,400,400,400
17400,151,272,368,404,404,404
17500,152,274,370,409,409,409
17600,153,275,372,414,414,414
17700,154,276,374,418,418,418
17800,155,278,376,423,423,423
17900,155,279,378,427,427,427
18000,156,281,380,432,432,432
18100,157,282,382,436,436,436
18200,158,283,384,441,441,441
18300,159,285,386,445,445,445
18400,159,286,387,450,450,450
18500,160,287,389,454,454,454
18600,161,289,391,459,459,459
18700,162,290,393,463,463,463
18800,163,292,395,468,468,468
18900,163,293,397,472,472,472
19000,164,294,399,477,477,477
19100,165,296,400,480,482,482
19200,166,297,402,483,486,486
19300,167,299,404,486,491,491
19400,168,300,406,489,495,495
19500,168,301,408,492,500,500
19600,169,303,410,495,504,504
19700,170,304,412,497,509,509
19800,171,306,413,500,513,513
19900,172,307,415,503,518,518
20000,172,308,417,506,522,522
20100,173,310,419,508,527,527
20200,174,311,421,510,531,531
20300,175,312,423,513,535,535
20400,175,314,424,515,540,540
20500,176,315,426,517,544,544
20600,177,316,428,519,548,548
20700,178,318,430,521,553,553
20800,179,319,431,523,557,557
20900,179,320,433,525,561,561
21000,180,322,435,528,566,566
21100,181,323,437,530,570,570
21200,182,324,438,532,574,574
21300,182,326,440,534,579,579
21400,183,327,442,536,583,583
21500,184,328,444,538,588,588
21600,185,330,446,540,592,592
21700,185,331,447,543,596,596
21800,186,332,449,545,601,601
21900,187,334,451,547,605,605
22000,188,335,453,549,609,609
22100,189,336,454,551,614,614
22200,189,338,456,553,618,618
22300,190,339,458,555,622,622
22400,191,340,460,558,627,627
22500,192,342,462,560,631,631
22600,192,343,463,562,635,635
22700,193,344,465,564,640,640
22800,194,346,467,566,644,644
22900,195,347,469,568,648,648
23000,195,348,470,570,653,653
23100,196,350,472,573,655,657
23200,197,351,474,575,658,661
23300,198,352,476,577,660,666
23400,199,354,478,579,663,670
23500,199,355,479,581,665,674
23600,200,356,481,583,668,679
23700,201,358,483,585,671,683
23800,202,359,485,588,673,688
23900,202,360,486,590,676,692
24000,203,362,488,592,678,696
24100,204,363,490,594,681,701
24200,205,364,492,596,683,705
24300,206,366,494,598,686,709
24400,206,367,495,600,688,714
24500,207,368,497,603,690,718
24600,208,370,499,605,693,722
24700,209,371,501,607,695,727
24800,209,372,502,609,698,731
24900,210,373,504,611,700,735
25000,211,375,506,613,703,740
25100,212,376,508,615,705,744
25200,213,378,510,618,708,749
25300,214,379,512,620,710,753
25400,215,380,513,622,713,758
25500,217,382,515,624,715,762
25600,218,383,517,627,718,767
25700,219,385,519,629,721,771
25800,220,386,521,631,723,776
25900,221,387,523,633,726,780
26000,222,389,525,636,728,785
26100,223,390,526,638,731,790
26200,225,392,528,640,733,794
26300,226,393,530,642,736,799
26400,227,394,532,645,738,803
26500,228,396,534,647,741,808
26600,229,397,536,649,744,812
26700,231,399,538,651,746,817
26800,232,400,539,654,749,821
26900,233,401,541,656,751,826
27000,234,403,543,658,754,830
27100,235,404,545,660,756,834
27200,237,405,547,663,759,837
27300,238,407,549,665,761,840
27400,239,408,551,667,764,843
27500,240,410,552,669,767,847
27600,241,411,554,671,769,850
27700,243,412,556,674,772,853
27800,244,414,558,676,774,857
27900,245,415,560,678,777,860
28000,246,417,562,680,779,863
28100,247,418,564,683,782,866
28200,249,419,565,685,784,869
28300,250,421,567,687,787,872
28400,251,422,569,689,790,874
28500,252,424,571,692,792,877
28600,253,425,573,694,795,880
28700,255,426,575,696,797,883
28800,256,428,577,698,800,886
28900,257,429,578,701,802,889
29000,258,431,580,703,805,891
29100,259,432,582,705,807,894
29200,261,433,584,707,810,897
29300,262,435,586,709,812,899
29400,263,436,587,711,815,902
29500,264,437,589,714,817,905
29600,265,439,591,716,820,908
29700,266,440,593,718,822,910
29800,268,441,594,720,824,913
29900,269,442,596,722,827,916
30000,270,444,598,724,829,918
30100,271,445,600,726,832,921
30200,272,446,601,728,834,924
30300,273,448,603,730,836,926
30400,274,449,605,732,839,929
30500,276,450,607,735,841,931
30600,277,452,608,737,844,934
30700,278,453,610,739,846,937
30800,279,454,612,741,848,939
30900,280,455,614,743,851,942
31000,281,457,615,745,853,945
31100,282,458,617,747,855,947
31200,283,460,619,749,858,950
31300,285,461,620,751,860,952
31400,286,463,622,753,863,955
31500,287,464,624,755,865,958
31600,288,466,626,757,867,960
31700,289,467,627,759,870,963
31800,290,469,629,762,872,965
31900,291,470,631,764,874,968
32000,293,472,632,766,877,971
32100,294,474,634,768,879,973
32200,295,475,636,770,882,976
32300,296,477,638,772,884,979
32400,297,479,639,774,886,981
32500,298,480,641,776,889,984
32600,299,482,643,778,891,986
32700,300,483,644,780,893,989
32800,302,485,646,782,896,992
32900,303,487,648,784,898,994
33000,304,488,650,786,900,997
33100,305,490,651,788,903,999
33200,306,492,653,790,905,1002
33300,307,493,654,792,907,1004
33400,309,495,656,794,910,1007
33500,310,497,658,796,912,1009
33600,311,498,659,798,914,1012
33700,312,500,661,800,916,1014
33800,313,502,663,802,919,1017
33900,314,503,664,804,921,1019
34000,316,505,666,806,923,1022
34100,317,507,667,808,925,1024
34200,318,508,669,810,927,1027
34300,318,510,670,812,930,1029
34400,319,512,672,814,932,1032
34500,320,513,673,816,934,1034
34600,321,515,675,817,936,1037
34700,322,517,677,819,938,1039
34800,323,518,678,821,941,1041
34900,324,520,680,823,943,1044
35000,325,521,681,825,945,1046
35100,326,523,683,827,947,1048
35200,327,525,684,828,949,1051
35300,327,526,685,830,951,1053
35400,328,528,687,832,953,1055
35500,329,529,688,834,955,1057
35600,330,531,690,835,957,1059
35700,331,532,691,837,959,1062
35800,332,534,692,839,961,1064
35900,332,535,694,840,963,1066
36000,333,537,695,842,965,1068
36100,334,538,697,844,967,1070
36200,335,540,699,846,969,1073
36300,336,541,701,847,971,1075
36400,336,543,703,849,973,1077
36500,337,545,705,851,974,1079
36600,338,546,707,852,976,1081
36700,339,548,708,854,978,1084
36800,340,549,710,856,980,1086
36900,341,551,712,858,982,1088
37000,341,552,714,859,984,1090
37100,342,554,716,861,986,1093
37200,343,555,718,863,988,1095
37300,344,557,720,865,991,1097
37400,345,559,722,866,993,1099
37500,346,560,724,868,995,1102
37600,346,562,726,870,997,1104
37700,347,563,728,872,999,1106
37800,348,565,730,873,1001,1108
37900,349,566,731,875,1003,1111
38000,350,568,733,877,1005,1113
38100,351,570,735,879,1007,1115
38200,352,571,737,881,1009,1118
38300,352,573,739,882,1011,1120
38400,353,574,741,884,1013,1122
38500,354,576,743,886,1015,1125
38600,355,578,745,888,1017,1127
38700,356,579,747,890,1019,1129
38800,357,581,749,891,1022,1132
38900,358,583,751,893,1024,1134
39000,358,584,753,895,1026,1136
39100,359,586,755,897,1028,1139
39200,360,587,757,899,1030,1141
39300,361,589,759,901,1032,1144
39400,362,591,761,903,1035,1146
39500,363,593,763,905,1037,1149
39600,364,594,765,907,1039,1151
39700,365,596,767,909,1041,1153
39800,366,598,769,911,1043,1156
39900,367,599,771,913,1046,1158
40000,367,601,773,915,1048,1161
40100,368,603,776,917,1050,1163
40200,369,604,778,920,1052,1166
40300,370,606,780,922,1055,1168
40400,371,608,782,924,1057,1171
40500,372,610,784,927,1059,1173
40600,373,611,786,929,1061,1176
40700,374,613,788,932,1064,1178
40800,375,615,790,934,1066,1181
40900,376,616,792,937,1068,1183
41000,377,618,795,939,1070,1186
41100,378,620,797,941,1073,1189
41200,379,622,799,944,1075,1191
41300,380,623,801,946,1077,1194
41400,381,625,803,949,1080,1196
41500,381,627,805,951,1082,1199
41600,382,629,808,954,1084,1202
41700,383,630,810,956,1087,1204
41800,384,632,812,959,1089,1207
41900,385,634,814,961,1091,1209
42000,386,636,816,964,1094,1212
42100,387,637,818,966,1096,1215
42200,388,639,821,969,1098,1217
42300,389,640,823,971,1101,1220
42400,390,642,825,974,1103,1222
42500,391,643,827,976,1106,1225
42600,392,645,829,979,1108,1228
42700,393,646,831,981,1110,1230
42800,394,648,834,984,1113,1233
42900,395,649,836,986,1115,1235
43000,396,651,838,989,1117,1238
43100,397,652,840,991,1120,1241
43200,398,653,842,994,1122,1243
43300,399,655,844,996,1125,1246
43400,400,656,847,999,1127,1248
43500,401,658,849,1001,1130,1251
43600,402,659,851,1004,1132,1254
43700,403,661,853,1006,1135,1256
43800,403,662,855,1009,1137,1259
43900,404,664,857,1011,1140,1261
44000,405,665,860,1014,1142,1264
44100,406,667,862,1016,1145,1267
44200,407,668,864,1019,1148,1269
44300,408,670,866,1021,1150,1272
44400,409,671,868,1024,1153,1274
44500,410,673,870,1026,1156,1277
44600,411,674,873,1029,1159,1280
44700,412,676,875,1031,1161,1282
44800,413,677,877,1034,1164,1285
44900,414,679,879,1036,1167,1287
45000,415,680,881,1039,1170,1290
45100,416,682,883,1041,1172,1293
45200,417,683,886,1044,1175,1295
45300,418,685,888,1046,1178,1298
45400,419,686,890,1049,1181,1300
45500,420,688,892,1051,1184,1303
45600,421,689,894,1054,1186,1306
45700,422,691,896,1056,1189,1308
45800,423,692,899,1059,1192,1311
45900,424,694,901,1061,1195,1313
46000,425,695,903,1064,1197,1316
46100,425,697,905,1066,1200,1319
46200,426,698,907,1068,1203,1321
46300,427,700,909,1071,1206,1324
46400,428,701,912,1073,1208,1326
46500,429,703,914,1076,1211,1329
46600,430,704,916,1078,1214,1332
46700,431,706,918,1081,1217,1334
46800,432,707,920,1083,1219,1337
46900,433,709,922,1086,1222,1339
47000,434,710,925,1088,1225,1342
47100,435,711,927,1091,1228,1345
47200,436,713,929,1093,1230,1348
47300,437,714,931,1096,1233,1351
47400,438,716,933,1098,1236,1353
47500,439,717,935,1101,1239,1356
47600,440,719,938,1103,1242,1359
47700,441,720,940,1106,1244,1362
47800,442,722,942,1108,1247,1365
47900,443,723,944,1111,1250,1368
48000,444,725,946,1113,1253,1370
48100,444,726,948,1116,1255,1373
48200,445,728,950,1118,1258,1376
48300,446,729,952,1120,1260,1378
48400,447,730,954,1122,1263,1381
48500,448,732,956,1125,1265,1384
48600,449,733,958,1127,1267,1387
48700,450,734,960,1129,1270,1389
48800,450,735,962,1131,1272,1392
48900,451,737,964,1134,1275,1395
49000,452,738,966,1136,1277,1397
49100,453,740,968,1138,1280,1400
49200,454,741,970,1141,1283,1403
49300,455,743,972,1143,1286,1406
49400,456,744,974,1146,1288,1409
49500,457,746,976,1148,1291,1412
49600,458,747,978,1151,1294,1415
49700,459,749,980,1153,1297,1418
49800,460,750,982,1156,1300,1421
49900,461,752,984,1158,1302,1424
50000,462,753,986,1161,1305,1427
50100,463,754,988,1163,1308,1430
50200,464,756,990,1166,1311,1433
50300,465,757,992,1168,1313,1436
50400,466,759,994,1171,1316,1439
50500,467,760,996,1173,1319,1442
50600,467,762,998,1176,1322,1445
50700,468,763,999,1178,1324,1448
50800,469,765,1001,1181,1327,1451
50900,470,766,1003,1183,1330,1454
51000,471,768,1005,1186,1333,1457
51100,472,769,1007,1188,1335,1460
51200,473,771,1009,1191,1338,1463
51300,474,772,1011,1193,1341,1466
51400,475,774,1013,1196,1344,1469
51500,476,775,1015,1198,1346,1472
51600,477,777,1017,1201,1349,1475
51700,478,778,1019,1203,1352,1478
51800,479,780,1020,1206,1355,1481
51900,480,781,1022,1208,1358,1484
52000,481,783,1024,1211,1360,1487
52100,482,784,1026,1213,1363,1490
52200,483,786,1028,1216,1366,1493
52300,484,787,1030,1218,1369,1496
52400,485,789,1032,1220,1371,1499
52500,486,790,1034,1223,1374,1502
52600,487,792,1036,1225,1377,1505
52700,488,793,1038,1228,1380,1508
52800,489,795,1040,1230,1382,1511
52900,489,796,1041,1233,1385,1514
53000,490,798,1043,1235,1388,1517
53100,491,799,1045,1238,1391,1520
53200,492,801,1047,1240,1393,1523
53300,493,802,1049,1243,1396,1526
53400,494,804,1051,1245,1399,1529
53500,495,805,1053,1248,1402,1532
53600,496,807,1055,1250,1404,1535
53700,497,808,1057,1253,1407,1538
53800,498,810,1059,1255,1410,1541
53900,499,811,1061,1258,1413,1544
54000,500,813,1063,1260,1415,1547
54100,501,814,1064,1263,1418,1550
54200,502,815,1066,1265,1421,1553
54300,503,817,1068,1268,1424,1556
54400,504,818,1070,1270,1427,1559
54500,505,820,1072,1273,1429,1562
54600,506,821,1074,1275,1432,1565
54700,507,823,1076,1278,1435,1568
54800,508,824,1078,1280,1438,1571
54900,509,826,1080,1283,1440,1574
55000,510,827,1082,1285,1443,1577
55100,510,829,1084,1288,1446,1580
55200,511,830,1085,1290,1449,1583
55300,512,832,1087,1293,1451,1586
55400,513,833,1089,1295,1454,1589
55500,514,835,1091,1298,1457,1592
55600,515,836,1093,1300,1460,1595
55700,516,838,1095,1303,1462,1598
55800,517,839,1097,1305,1465,1601
55900,518,841,1099,1308,1468,1604
56000,519,842,1101,1310,1471,1607
56100,520,844,1103,1313,1473,1610
56200,521,845,1105,1315,1476,1613
56300,522,847,1107,1318,1479,1616
56400,523,848,1108,1320,1482,1619
56500,524,850,1110,1323,1485,1622
56600,525,851,1112,1325,1487,1625
56700,526,853,1114,1327,1490,1628
56800,527,854,1116,1330,1493,1631
56900,528,856,1118,1332,1496,1634
57000,529,857,1120,1335,1498,1637
57100,530,859,1122,1337,1501,1639
57200,531,860,1124,1339,1504,1642
57300,532,862,1126,1342,1507,1645
57400,532,863,1128,1344,1509,1648
57500,533,865,1129,1346,1512,1651
57600,534,866,1131,1348,1515,1654
57700,535,868,1133,1351,1518,1657
57800,536,869,1135,1353,1520,1660
57900,537,871,1137,1355,1523,1663
58000,538,872,1139,1358,1526,1666
58100,539,873,1141,1360,1529,1669
58200,540,875,1143,1362,1531,1672
58300,541,876,1145,1364,1534,1675
58400,542,878,1147,1367,1537,1678
58500,543,879,1149,1369,1540,1681
58600,544,881,1151,1371,1543,1684
58700,545,882,1152,1373,1545,1687
58800,546,884,1154,1376,1548,1690
58900,547,885,1156,1378,1551,1693
59000,548,887,1158,1380,1554,1696
59100,549,888,1160,1382,1556,1699
59200,550,890,1162,1385,1559,1702
59300,551,891,1164,1387,1562,1705
59400,552,893,1166,1389,1565,1708
59500,553,894,1168,1391,1567,1711
59600,554,896,1170,1394,1570,1714
59700,554,897,1172,1396,1573,1717
59800,555,899,1173,1398,1576,1720
59900,556,900,1175,1400,1578,1723
60000,557,902,1177,1403,1581,1726
60100,558,903,1179,1405,1584,1729
60200,559,905,1181,1407,1587,1732
60300,560,906,1183,1409,1589,1735
60400,561,908,1185,1412,1592,1738
60500,562,909,1187,1414,1595,1741
60600,563,910,1188,1416,1597,1744
60700,564,912,1190,1418,1600,1747
60800,565,913,1192,1420,1603,1750
60900,566,915,1194,1423,1606,1753
61000,566,916,1196,1425,1608,1756
61100,567,918,1198,1427,1611,1758
61200,568,919,1200,1429,1614,1761
61300,569,920,1201,1431,1616,1764
61400,570,922,1203,1433,1619,1767
61500,571,923,1205,1436,1622,1770
61600,572,924,1207,1438,1624,1773
61700,573,926,1209,1440,1627,1776
61800,573,927,1210,1442,1629,1779
61900,574,929,1212,1444,1632,1781
62000,575,930,1214,1446,1635,1784
62100,576,931,1216,1448,1637,1787
62200,577,933,1218,1451,1640,1790
62300,578,934,1219,1453,1643,1793
62400,579,936,1221,1455,1645,1796
62500,579,937,1223,1457,1648,1799
62600,580,938,1225,1459,1651,1802
62700,581,940,1227,1461,1653,1804
62800,582,941,1228,1464,1656,1807
62900,583,943,1230,1466,1659,1810
63000,584,944,1232,1468,1661,1813
63100,585,945,1234,1470,1664,1816
63200,586,947,1236,1472,1667,1819
63300,586,948,1238,1474,1669,1822
63400,587,950,1239,1476,1672,1825
63500,588,951,1241,1479,1675,1827
63600,589,952,1243,1481,1677,1830
63700,590,954,1245,1483,1680,1833
63800,591,955,1247,1485,1683,1836
63900,592,956,1248,1487,1685,1839
64000,592,958,1250,1489,1688,1842
64100,593,959,1252,1492,1690,1845
64200,594,961,1254,1494,1693,1848
64300,595,962,1256,1496,1695,1851
64400,596,963,1257,1498,1698,1853
64500,597,965,1259,1500,1700,1856
64600,598,966,1261,1502,1703,1859
64700,599,968,1263,1504,1706,1862
64800,599,969,1265,1507,1708,1865
64900,600,970,1267,1509,1711,1868
65000,601,972,1268,1511,1713,1871
65100,602,973,1270,1513,1716,1874
65200,603,975,1272,1515,1718,1877
65300,604,976,1274,1518,1721,1880
65400,605,978,1276,1520,1723,1882
65500,606,979,1278,1522,1726,1885
65600,607,980,1279,1524,1728,1888
65700,608,982,1281,1526,1730,1891
65800,609,983,1283,1529,1733,1894
65900,610,985,1285,1531,1735,1897
66000,610,986,1287,1533,1738,1900
66100,611,988,1289,1535,1740,1903
66200,612,989,1291,1537,1743,1906
66300,613,991,1292,1539,1745,1909
66400,614,992,1294,1542,1748,1912
66500,615,993,1296,1544,1750,1915
66600,616,995,1298,1546,1753,1918
66700,617,996,1300,1548,1755,1921
66800,618,998,1302,1550,1758,1924
66900,619,999,1304,1553,1760,1927
67000,620,1001,1305,1555,1763,1930
67100,621,1002,1307,1557,1765,1933
67200,621,1003,1309,1559,1767,1935
67300,622,1005,1311,1561,1770,1938
67400,623,1006,1313,1563,1772,1941
67500,624,1008,1314,1565,1774,1944
67600,625,1009,1316,1567,1777,1947
67700,626,1010,1318,1570,1779,1950
67800,627,1012,1320,1572,1782,1953
67900,628,1013,1322,1574,1784,1956
68000,629,1015,1323,1576,1786,1959
68100,630,1016,1325,1578,1789,1962
68200,630,1017,1327,1580,1791,1965
68300,631,1019,1329,1582,1794,1967
68400,632,1020,1331,1584,1796,1970
68500,633,1022,1332,1587,1798,1973
68600,634,1023,1334,1589,1801,1976
68700,635,1024,1336,1591,1803,1979
68800,636,1026,1338,1593,1806,1982
68900,637,1027,1339,1595,1808,1985
69000,638,1029,1341,1597,1810,1988
69100,639,1030,1343,1599,1813,1991
69200,639,1031,1345,1601,1815,1994
69300,640,1033,1347,1604,1818,1997
69400,641,1034,1348,1606,1820,1999
69500,642,1036,1350,1608,1822,2002
69600,643,1037,1352,1610,1825,2005
69700,644,1038,1354,1612,1827,2008
69800,645,1040,1356,1614,1830,2011
69900,646,1041,1357,1616,1832,2014
70000,647,1043,1359,1618,1834,2017
70100,647,1044,1361,1620,1836,2019
70200,648,1045,1362,1622,1839,2022
70300,649,1046,1364,1624,1841,2024
70400,650,1047,1366,1626,1843,2026
70500,650,1049,1367,1628,1845,2029
70600,651,1050,1369,1630,1847,2031
70700,652,1051,1370,1632,1849,2034
70800,653,1052,1372,1634,1852,2036
70900,654,1054,1374,1636,1854,2038
71000,654,1055,1375,1637,1856,2041
71100,655,1056,1377,1639,1858,2043
71200,656,1057,1378,1641,1860,2045
71300,656,1058,1380,1643,1862,2047
71400,657,1059,1381,1644,1864,2050
71500,658,1060,1383,1646,1866,2052
71600,658,1061,1384,1648,1868,2054
71700,659,1063,1386,1650,1870,2056
71800,660,1064,1387,1651,1872,2058
71900,660,1065,1388,1653,1874,2061
72000,661,1066,1390,1655,1876,2063
72100,661,1067,1391,1657,1878,2065
72200,662,1068,1392,1658,1879,2067
72300,662,1069,1394,1660,1881,2069
72400,663,1070,1395,1661,1883,2071
72500,664,1071,1396,1663,1885,2072
72600,664,1071,1397,1664,1886,2074
72700,665,1072,1399,1666,1888,2076
72800,665,1073,1400,1667,1890,2078
72900,666,1074,1401,1669,1891,2080
73000,666,1075,1402,1670,1893,2082
73100,667,1076,1404,1672,1895,2084
73200,668,1077,1405,1674,1897,2086
73300,668,1079,1407,1675,1899,2089
73400,669,1080,1408,1677,1901,2091
73500,669,1081,1410,1679,1903,2093
73600,670,1082,1411,1681,1905,2095
73700,671,1083,1413,1682,1907,2097
73800,671,1084,1414,1684,1909,2100
73900,672,1085,1416,1686,1911,2102
74000,673,1086,1417,1688,1913,2104
74100,673,1087,1419,1689,1915,2106
74200,674,1089,1420,1691,1917,2109
74300,675,1090,1422,1693,1919,2111
74400,676,1091,1423,1695,1921,2113
74500,676,1092,1425,1697,1924,2115
74600,677,1093,1426,1699,1926,2118
74700,678,1094,1428,1700,1928,2120
74800,679,1096,1429,1702,1930,2122
74900,679,1097,1431,1704,1932,2124
75000,680,1098,1432,1706,1934,2127
75100,681,1099,1434,1708,1936,2129
75200,682,1100,1435,1710,1938,2131
75300,682,1102,1437,1711,1940,2134
75400,683,1103,1439,1713,1942,2136
75500,684,1104,1440,1715,1944,2138
75600,685,1105,1442,1717,1946,2141
75700,686,1107,1443,1719,1949,2143
75800,686,1108,1445,1721,1951,2145
75900,687,1109,1446,1723,1953,2147
76000,688,1110,1448,1724,1955,2150
76100,689,1111,1450,1726,1957,2152
76200,689,1113,1451,1728,1959,2154
76300,690,1114,1453,1730,1961,2157
76400,691,1115,1454,1732,1963,2159
76500,692,1116,1456,1734,1965,2161
76600,693,1118,1457,1736,1967,2164
76700,693,1119,1459,1737,1969,2166
76800,694,1120,1461,1739,1972,2168
76900,695,1121,1462,1741,1974,2170
77000,696,1122,1464,1743,1976,2173
77100,697,1124,1465,1745,1978,2175
