Income,1,2,3,4,5,6
16000,0,0,0,0,0,0
16100,10,10,11,12,12,12
16200,19,20,22,24,24,24
16300,29,31,33,35,35,35
16400,38,41,44,47,47,47
16500,48,51,55,59,59,59
16600,57,61,66,71,71,71
16700,67,71,77,83,83,83
16800,76,82,88,94,94,94
16900,86,92,99,106,106,106
17000,95,102,110,118,118,118
17100,96,107,115,123,123,123
17200,97,112,120,129,129,129
17300,98,116,126,134,134,134
17400,100,121,131,140,140,140
17500,101,126,136,145,145,145
17600,102,131,141,151,151,151
17700,103,135,146,156,156,156
17800,104,140,151,162,162,162
17900,105,145,157,167,167,167
18000,106,150,162,173,173,173
18100,107,154,167,178,178,178
18200,108,159,171,183,183,183
18300,109,163,176,188,188,188
18400,111,167,181,193,193,193
18500,112,172,186,198,198,198
18600,113,176,190,203,203,203
18700,114,181,195,208,208,208
18800,115,185,200,213,213,213
18900,116,189,204,219,219,219
19000,117,194,209,224,224,224
19100,118,198,214,229,229,229
19200,119,203,218,234,234,234
19300,120,207,223,239,239,239
19400,121,211,227,244,244,244
19500,123,216,232,249,249,249
19600,124,220,237,254,254,254
19700,125,224,241,259,259,259
19800,126,228,246,264,264,264
19900,127,233,251,269,269,269
20000,128,237,255,274,274,274
20100,129,241,259,279,279,279
20200,130,245,264,283,283,283
20300,131,249,268,288,288,288
20400,132,253,272,293,293,293
20500,133,257,277,297,297,297
20600,135,262,281,302,302,302
20700,136,266,286,306,306,306
20800,137,270,290,311,311,311
20900,138,274,294,316,316,316
21000,139,278,299,320,320,320
21100,140,282,303,325,325,325
21200,141,286,308,329,329,329
21300,142,290,312,334,334,334
21400,143,294,316,338,338,338
21500,144,298,321,343,343,343
21600,145,302,325,347,347,347
21700,147,306,329,352,352,352
21800,148,310,333,357,357,357
21900,149,314,338,361,361,361
22000,150,317,342,366,366,366
22100,151,321,346,371,371,371
22200,152,325,351,375,375,375
22300,153,329,355,380,380,380
22400,155,333,359,384,384,384
22500,156,337,364,389,389,389
22600,157,341,368,393,393,393
22700,158,345,372,398,398,398
22800,159,349,377,403,403,403
22900,160,353,381,407,407,407
23000,162,357,385,412,412,412
23100,163,361,390,417,417,417
23200,164,365,394,422,422,422
23300,165,370,399,427,427,427
23400,167,374,403,431,431,431
23500,168,378,408,436,436,436
23600,169,382,412,441,441,441
23700,170,386,417,446,446,446
23800,171,390,421,451,451,451
23900,172,395,426,456,456,456
24000,173,399,430,461,461,461
24100,174,403,435,466,466,466
24200,175,408,439,471,471,471
24300,176,412,444,476,476,476
24400,178,416,448,481,481,481
24500,179,420,453,486,486,486
24600,180,425,457,490,490,490
24700,181,429,462,495,495,495
24800,182,433,467,500,500,500
24900,183,437,471,505,505,505
25000,184,442,476,510,510,510
25100,185,445,480,514,514,514
25200,186,449,484,519,519,519
25300,187,452,488,523,523,523
25400,188,456,492,527,527,527
25500,190,459,496,531,531,531
25600,191,463,500,536,536,536
25700,192,466,504,540,540,540
25800,193,470,508,544,544,544
25900,194,473,512,549,549,549
26000,195,477,516,553,553,553
26100,196,478,520,557,557,557
26200,197,478,524,561,561,561
26300,198,479,528,566,566,566
26400,199,479,532,570,570,570
26500,200,480,536,574,574,574
26600,202,481,540,578,578,578
26700,203,481,544,582,582,582
26800,204,482,548,586,586,586
26900,205,482,552,591,591,591
27000,206,483,556,595,595,595
27100,207,483,560,599,599,599
27200,208,484,564,603,603,603
27300,209,484,568,607,607,607
27400,210,485,571,611,611,611
27500,211,485,575,615,615,615
27600,212,486,579,619,619,619
27700,214,486,583,624,624,624
27800,215,487,587,628,628,628
27900,216,487,591,632,632,632
28000,217,487,594,636,636,636
28100,218,488,598,640,640,640
28200,219,488,602,644,644,644
28300,220,489,605,648,648,648
28400,222,489,609,652,652,652
28500,223,490,613,656,656,656
28600,224,490,617,660,660,660
28700,225,491,621,664,664,664
28800,226,491,624,669,669,669
28900,227,492,628,673,673,673
29000,229,492,632,677,677,677
29100,230,493,636,681,681,681
29200,231,494,640,685,685,685
29300,232,495,644,689,689,689
29400,234,496,648,693,693,693
29500,235,497,651,697,697,697
29600,236,497,655,701,701,701
29700,237,498,659,705,705,705
29800,238,499,663,710,710,710
29900,239,500,667,714,714,714
30000,240,501,671,718,718,718
30100,241,502,673,722,722,722
30200,242,503,675,726,726,726
30300,243,504,678,730,730,730
30400,245,504,680,734,734,734
30500,246,505,682,738,738,738
30600,247,506,684,742,742,742
30700,248,507,687,746,746,746
30800,249,508,689,750,750,750
30900,250,509,691,755,755,755
31000,251,509,693,759,759,759
31100,252,510,694,763,763,763
31200,253,511,695,767,767,767
31300,254,511,697,771,771,771
31400,255,512,698,775,775,775
31500,257,513,699,779,779,779
31600,258,514,700,783,783,783
31700,259,514,701,787,787,787
31800,260,515,703,791,791,791
31900,261,516,704,795,795,795
32000,262,517,705,799,799,799
32100,263,518,706,803,803,803
32200,264,518,707,806,806,806
32300,265,519,708,810,810,810
32400,266,519,709,814,814,814
32500,267,520,710,817,817,817
32600,269,520,710,821,821,821
32700,270,521,711,824,824,824
32800,271,521,712,828,828,828
32900,272,522,713,832,832,832
33000,273,522,714,835,835,835
33100,274,522,715,838,838,838
33200,275,523,716,842,842,842
33300,275,523,716,845,845,845
33400,276,524,717,848,848,848
33500,277,524,718,852,852,852
