2006 Child Support Table,,,,,,
Income,1 Child,2 Children,3 Chilren,4 Children,5 Children ,6 or More Children
"For Income Over $150,000","1254 plus 0.74% of Income over $150,000","$1992 plus 1.16% of income over $150,000","$2581 plus 1.49% of income over $150,000","$3064 plus 1.76% of income over $150,000","$3466 plus 1.98% of income over $150,000","$3806 plus 2.18% of income over $150,000"
2011 Child Support Table,,,,,,
Income,1 Child,2 Children,3 Chilren,4 Children,5 Children ,6 or More Children
"For Income Over $150,000","$1263 plus 0.74% of Income over $150,000","$2012 plus 1.14% of income over $150,000","$2611 plus 1.44% of income over $150,000","$3120 plus 1.78% of income over $150,000","$3510 plus 1.94% of income over $150,000","$3856 plus 2.16% of income over $150,000"
2017 Child Support Table,,,,,,
Income,1 Child,2 Children,3 Chilren,4 Children,5 Children ,6 or More Children
"For Income Over $150,000","$1299 plus 0.72% of Income over $150,000","$2077 plus 1.20% of income over $150,000","$2698 plus 1.46% of income over $150,000","$3207 plus 1.76% of income over $150,000","$3631 plus 2% of income over $150,000","$3806 plus 2.22% of income over $150,000"
2025 Child Support Table,,,,,,
Income,1 Child,2 Children,3 Chilren,4 Children,5 Children ,6 or More Children
"For Income Over $150,000","$1327 plus 0.76% of Income over $150,000","$2135 plus 1.22% of income over $150,000","$2781 plus 1.54% of income over $150,000","$3310 plus 1.86% of income over $150,000","$3751 plus 2.14% of income over $150,000","$4123 plus 2.26% of income over $150,000"
